DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,algo_to_use,reference_price,limit_price,manual_trade,manual_fill,roll_order,calendar_spread_order,inter_spread_order,generated_datetime,reference_of_controlling_algo
2024-06-25 07:11:49,example/AFLT/20240900,[1],[1],2024-06-25 07:11:49,6568.0,False,30,30,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6545.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:12:02,example/CNY/20240900,[23],[23],2024-06-25 07:12:02,11.0,False,31,31,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,11.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:12:14,example/MGNT/20240900,[-2],[-2],2024-06-25 07:12:14,6205.0,False,32,32,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6256.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:12:27,example/MOEX/20240900,[-1],[-1],2024-06-25 07:12:27,22981.0,False,33,33,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,23086.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:12:49,example/MXI/20240900,[1],[1],2024-06-25 07:12:49,3126.0,False,34,34,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3138.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:13:03,example/RTKM/20240900,[-4],[-4],2024-06-25 07:13:03,9338.0,False,35,35,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,9418.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:13:14,example/SBRF/20240900,[-1],[-1],2024-06-25 07:13:14,30020.0,False,36,36,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,29969.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:13:27,example/SIBN/20240900,[-3],[-3],2024-06-25 07:13:27,7076.0,False,37,37,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,7109.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:13:38,example/SMLT/20240900,[-5],[-5],2024-06-25 07:13:38,3121.0,False,38,38,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3138.0,,False,True,False,False,False,2024-06-25 07:11:21,
2024-06-25 07:13:51,example/SNGP/20240900,[-1],[-1],2024-06-25 07:13:51,52564.0,False,39,39,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,52783.0,,False,True,False,False,False,2024-06-25 07:11:21,
