DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,limit_contract,limit_price,reference_contract,reference_price,manual_trade,roll_order,reference_datetime,generated_datetime
2024-06-27 07:16:06,example SIBN,[-4],[-4],2024-06-27 07:16:06,7104.0,False,55,,[55.0],False,best,,,20240900.0,7121.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
2024-06-27 07:16:15,example SMLT,[-7],[-7],2024-06-27 07:16:15,3141.0,False,56,,[56.0],False,best,,,20240900.0,3161.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
2024-06-27 07:16:29,example SNGP,[-2],[-2],2024-06-27 07:16:29,54790.0,False,57,,[57.0],False,best,,,20240900.0,54787.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
2024-06-28 07:06:59,example AFKS,[-1],[-1],2024-06-28 07:06:59,23652.0,False,58,,[58.0],False,best,,,20240900.0,23846.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:07:22,example AFLT,[2],[2],2024-06-28 07:07:22,6557.0,False,59,,[59.0],False,best,,,20240900.0,6582.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:08:37,example CNY,[22],[22],2024-06-28 07:08:37,11.0,False,60,,[60.0],False,best,,,20240900.0,11.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:08:56,example MGNT,[-2],[-2],2024-06-28 07:08:56,6246.0,False,61,,[61.0],False,best,,,20240900.0,6267.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:09:17,example MOEX,[-1],[-1],2024-06-28 07:09:17,23792.0,False,62,,[62.0],False,best,,,20240900.0,23781.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:09:43,example MTLR,[-1],[-1],2024-06-28 07:09:43,22187.0,False,63,,[63.0],False,best,,,20240900.0,22148.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:10:07,example MXI,[1],[1],2024-06-28 07:10:07,3181.0,False,64,,[64.0],False,best,,,20240900.0,3175.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
