BASE_DIR: C:\code\Systematic Trading\cursor. Лог файл: C:\code\Systematic Trading\cursor\private\instruments_status.log. Вход в функцию instruments_status
Запрос статуса инструментов: 928 записей найдено
Инструмент ID 3127: instrument: DJ30, contract: 20240900
Инструмент ID 3128: instrument: DJ30, contract: 20240600
Инструмент ID 3129: instrument: DJ30, contract: 20241200
Инструмент ID 3130: instrument: DAX, contract: 20251200
Инструмент ID 3131: instrument: DAX, contract: 20240300
Инструмент ID 3132: instrument: DAX, contract: 20231200
Инструмент ID 3133: instrument: DAX, contract: 20250600
Инструмент ID 3134: instrument: DAX, contract: 20250300
Инструмент ID 3135: instrument: DAX, contract: 20250900
Инструмент ID 3136: instrument: DAX, contract: 20240900
Инструмент ID 3137: instrument: DAX, contract: 20240600
Инструмент ID 3138: instrument: DAX, contract: 20241200
Инструмент ID 3139: instrument: ED, contract: 20230900
Инструмент ID 3140: instrument: ED, contract: 20240300
Инструмент ID 3141: instrument: ED, contract: 20231200
Инструмент ID 3142: instrument: ED, contract: 20250600
Инструмент ID 3143: instrument: ED, contract: 20250300
Инструмент ID 3144: instrument: ED, contract: 20250900
Инструмент ID 3145: instrument: ED, contract: 20240900
Инструмент ID 3146: instrument: ED, contract: 20240600
Инструмент ID 3147: instrument: ED, contract: 20241200
Инструмент ID 3149: instrument: EJPY, contract: 20231200
Инструмент ID 3150: instrument: EJPY, contract: 20240900
Инструмент ID 3151: instrument: EJPY, contract: 20240300
Инструмент ID 3152: instrument: EM, contract: 20250600
Инструмент ID 3153: instrument: EM, contract: 20250300
Инструмент ID 3154: instrument: EM, contract: 20250900
Инструмент ID 3155: instrument: EM, contract: 20240900
Инструмент ID 3156: instrument: EM, contract: 20241200
Инструмент ID 3157: instrument: Eu, contract: 20260300
Инструмент ID 3158: instrument: Eu, contract: 20251200
Инструмент ID 3159: instrument: Eu, contract: 20230900
Инструмент ID 3160: instrument: Eu, contract: 20260600
Инструмент ID 3161: instrument: Eu, contract: 20240300
